Support Manager;Review & Escalate
Employee;Enter Order
Clerk;Fill a Post label
Business participant;Incremet Tally
Hardware Retailer;Take out extra insurance
2nd Level Support Agent;Ask developer
Nobel Committee Medicine;Select Final Candidates and Their Works
Order Process;Approve Order
Candidate;Submit Application
Travel Agent;Confirm Booking
Expert;Assess Candidates Work
Hardware Retailer;Assign  carrier & prepare paperwork
Business participant;Check availability with supplier
Online Shop;Check Stock Level
Candidate;Interview
Business participant;Cancel Request
System Communication;Book Order
No Magic;Prepare Talk Presentation
Seller;Send an offer to the client
Pizza Customer;Ask for the pizza
Car House;Enter User and Dates
Logistics Manager;Take out extra insurance
Sales Department;Prepare special terms
Business participant;E-Mail Vote Deadline Warning
Seller;Develop proposal
Software developer;Provide feedbck for 2nd level support
Clerk;Assign  carrier & prepare paperwork
Developer;Verify bug
Bank;Assess risk
1st level support;Edit 1st level ticket
Travel Agent;Propose Booking Status
Nobel Committee Medicine;Hold Nobel Price Ceremony
Warehouse;Ship Goods
Trouble Ticket System;edit 1st level ticket
Trouble Ticket System;Edit account manager
Customer;Confirm Interest
Hardware Retailer;Decide if normal post or special shipment
No Magic;Publish Seminar Description in Website
Vacation Request Approval Process;Mark vacation in Calendar
User;report bug
Customer;Place Order
Marketing Manager;Publish Seminar Description in Website
Customer;Select Travel
Trouble Ticket System;Add to backlog
Administrator;Notify user
1st level support;Edit account manager
Librarian;Register Reservation
1st Level Support Agent;Classify ticket
Business participant;Send Results Via E-Mail
Business participant;Request Hold
Technician;Receive Notification
Risk Analyst;Assess risks
Car House;Select Car
No Magic;Welcome Participants
Seller;Change the terms of the offer
Business participant;Get Book Status
No Magic;Evaluate Participants Number
Manager;Approve Order
Business participant;On Loan Reply
Cab Driver;Pickup Customer
Business participant;Send Registered Warning Letter
Support Department;Work Offline
Organization;Initiate File
Nobel Committee Medicine;Screen & Select Preliminary Candidates
Nobel Assembly;Announce Nobel Prize Laureates
Pizza Customer;Eat the pizza
Firm;Reject Application
Candidate;Review Offer
Trouble Ticket System;Send Mail to Account Manager
Business participant;Receive Issue List
Warehouse Worker;Package goods
Business participant;Process Payment
No Magic;Register Participant
Hardware Retailer;Request quotes from carriers
1st Level Support Agent;Handle 1st level issue
No Magic;Give talk
Online Shop;Suggest Change
Recruiter;Schedule Interview
Car House;Show Reservation
pizza chef;Bake the pizza
Administrative Department;Bill
Hardware Retailer;Fill a Post label
1st level support;Open Ticket
System Communication;Store in Marketing System Client 100
Nobel Committee Medicine;Send Nomination Form
Business participant;Moderate Conference Call Discussion
Technician;Work Offline
Hardware Retailer;Add paperwork and move package to pick area
2nd level support;Edit 2nd level ticket
Marketing Manager;Collect Questionnaries
Reader;Return Item
Trouble Ticket System;Esit 2nd Level Ticket
Marketing Manager;Make Internal Seminar Anoucement
Business participant;Register Order in Manufacturing System
Aqua Distilled Water Company;Verify Customer Identity
2nd level support;Add to backlog
Seminar Coordinator;Make Internal Seminar Anoucement
Nobel Committee Medicine;Submit Report with Recommendations
Reservation;Submit Car Reservation
Nobel Committee Medicine;Send list of Selected Preliminary Candidates
2nd level support;edit 2nd level ticket
Nominator;Identify Potential Nominee(s)
Travel Agent;Get Alternative Time
Organization;Check Solvency
Order Process;Enter Order
Employee;Update Vacation Request
Organization;Bill
Trouble Ticket System;Insert issue into product backlog
Organization;Book Travel
Candidate;Fill out Employment Froms
Customer;Request Booking
Trouble Ticket System;edit 2nd level ticket
Business participant;Moderate E-mail Discussion
Developer;Notify administrator
Trouble Ticket System;Send mail to account manager
Sales Department;Prepare contract
Seminar Speaker;Give talk
Aqua Distilled Water Company;Deliver Water
Firm;Review Application
Logistic Department Worker;Deliver Water
No Magic;Arrange Facilities and Meals
Recruiter;Interview
Employee;Book Order
Travel Agent;Check Availability
Business participant;Reduce Number of Voting Members and Recalculate Votes
Bank;Send quote
Administrator;Install new version
Clerk;Decide if normal post or special shipment
Nobel Committee Medicine;Determine Need for Expert Assistance
Seller;Consider the proposal
No Magic;Send Invitations to Customers
Sales Representative;Suggest Change
Front Desk;Review & Escalate
Clerk;Check if extra insurance is necessary
System Communication;Store in Statistical System
CRM;Get Client Information
Support Department;Receive Notification
Vacation Request Approval Process;Approve Vacation Request
Marketing Manager;Welcome Participants
2nd level support;Esit 2nd Level Ticket
Customer Service Assistant;Forward Order
Sales rep;Calculate terms
Trouble Ticket System;Open ticket
Business participant;Receive Book Request
Support Manager;Receive Notification
Nobel Assembly;Discuss Nominators (Meeting 1)
No Magic;Prepare Seminar Description
Firm;Prepare Offer
Sales Department;Indicate Price
Reader;Find Wanted Title
Business participant;Post Results on Web Site
Sales manager;Consider the proposal
Librarian;Notify First Waiting Reader
Service Contract Implementation Layer;Store in Marketing System Client 200
Marketing Manager;Arrange Facilities and Meals
Recruiter;Prepare Offer
1st level support;Send Mail to Account Manager
2nd level support;Insert issue into product backlog
Vacation Request Approval Process;Book Vacation
Nobel Committee Medicine;Collect Candidates Work Assessment Reports
Travel Agent;Get Booking Request
Nominator;Send Nominee Completed Form(s)
Reservation;Get Confirmation
Key account manager;Get problem description
Business participant;Check Calendar for Conference Call
Sales Department;Send quote
Manager;Approve Vacation Request
Employee;Mark vacation in Calendar
Trouble Ticket System;Close Ticket
Technician;Acknowledge
Hardware Retailer;Package goods
Sales Department;Initiate File
Sales manager;Prepare special terms
Order Process;Book Order
Pizza Customer;Select a pizza
Bank;Prepare special terms
Support Department;Update Client on Delay &Escl.
Vacation Request Approval Process;Update Vacation Request
Sales Department;Calculate terms
ERP Expert;Resolve Communication Problem and Book Order
Business participant;Hold Reply
Car House;Set Available Cars
2nd Level Support Agent;Document 2nd level result
Car House;Get Confirmation
Trouble Ticket System;Open Ticket
Organization;Indicate Price
Trouble Ticket System;Insert Issue into Product Backlog
Seminar Coordinator;Open Seminar
Business participant;Prepare Invoice
Service Contract Implementation Layer;Book Order
Service Contract Implementation Layer;Store in Marketing System Client 100
Technician;Connect Remotely to Client
Reader;Get Item
Administrative Department;Check Solvency
Seminar Coordinator;Send Invitations to Customers
Support Department;Acknowledge
Aqua Distilled Water Company;Forward Order
1st level support;Edit 1st Level Ticket
Software developer;Examine problem
Seller;Close an offer
Seminar Coordinator;Publish Seminar Description in Website
Business participant;Start Investigation
Firm;Schedule Interview
No Magic;Send Reminder to Participants
Seminar Coordinator;Prepare Seminar Description
Key account manager;Send mail to support system
Marketing Manager;Prepare Seminar Description
Customer;Send credit request
Sales rep;Review request
Reader;Make Reservation
Nobel Committee Medicine;Write Recommendations Report
Sales staff;Develop proposal
Trouble Ticket System;Edit 2nd level ticket
2nd Level Support Agent;Handle 2nd level issue
No Magic;Make Internal Seminar Anoucement
Business participant;Order from supplier
Organization;Check Availability
Warehouse;Pack Goods
1st level support;Close Ticket
Business participant;Checkout Book
Firm;Interview
No Magic;Prepare Handouts
Client;Select Car
Hardware Retailer;Check if extra insurance is necessary
Bank;Review request
Recruiter;Submit Offer
Marketing Manager;Prepare Handouts
1st level support;edit 1st level ticket
Business participant;Prepare Results
Client;Enter User and Dates
Sales rep;Prepare contract
Business participant;Update Invoice
Recruiter;Reject Application
Nobel Committee Medicine;Collect Completed Forms
Business participant;Checkout Reply
1st Level Support Agent;Note 1st level result
Business participant;Email Voters that have to Change Votes
Marketing Manager;Evaluate Participants Number
Marketing Manager;Send Reminder to Participants
Service Contract Implementation Layer;Store in Statistical System
Sales staff;Change the terms of the offer
2nd level support;Insert Issue into Product Backlog
User;Use application
Support Department;Connect Remotely to Client
1st Level Support Agent;Document 1st level result
Warehouse Worker;Add paperwork and move package to pick area
Bank;Assess risks
Trouble Ticket System;Edit 1st level ticket
Seminar Speaker;Prepare Talk Presentation
Sales Department;Book Travel
1st level support;Close ticket
No Magic;Open Seminar
Sales rep;Send quote
Business participant;Reduce to Two Solutions
Pizza Customer;Order a pizza
No Magic;Collect Questionnaries
Online Shop;Ship Goods
Customer;Provide Customer Data
Bank;Calculate terms
Bank;Prepare contract
No Magic;Close Seminar
Business participant;Re-Announce Vote with Warning to Voting members
Librarian;Put Reservation to the Waiting List
Sales Representative;Check Stock Level
Recruiter;Collect Feedback
Joan Doe;Assess risk
Cab Driver;Complete Assignment
Librarian;Register Loan
Customer Service Assistant;Create Customer Account
Technician;Update Case Status
Sales Department;Review request
Seller;Fullfil the order
Interviewer;Interview
1st level support;Send mail to account manager
Reservation;Set Available Cars
Recruiter;Review Application
Business participant;Review Issue List
Key account manager;Explain solution
Manager;Book Vacation
Service Contract Implementation Layer;Resolve Communication Problem and Book Order
Nobel Assembly;Select Laureates (Meeting 2)
Sales Department;Check Availability
Sales staff;Close an offer
Marketing Manager;Send Invitations to Customers
System Communication;Store in Marketing System Client 200
Client;Show Reservation
Firm;Submit Offer
Sales Representative;Request Pack Goods
Trouble Ticket System;Close ticket
Marketing Manager;Register Participant
Aqua Distilled Water Company;Create Customer Account
2nd Level Support Agent;Note 2nd level result
2nd Level Support Agent;Handle 2nd Level Issue
Car House;Get Client Information
Support Department;Review & Escalate
Support Department;Update Case Status
Firm;Collect Feedback
Business participant;Receive Vote
delivery boy;Deliver the pizza
Seminar Coordinator;Close Seminar
Business participant;Send Invoice to Customer
Pizza Customer;Pay the pizza
Clerk;Request quotes from carriers
clerk;Calm customer
Business participant;Inform Customer about Overdue Payment
Online Shop;Request Pack Goods
1st level support;Open ticket
Developer;Notify user
Sales staff;Send an offer to the client
Trouble Ticket System;Edit 1st Level Ticket
Sales staff;Fullfil the order
Reader;Use Item
Car House;Submit Car Reservation
Expert;Send Candidates Assessment Report
Customer Service Assistant;Verify Customer Identity
delivery boy;Receive payment
Online Shop;Pack Goods
Business participant;Announce Issues
Support Manager;Update Client on Delay &Escl.